"filename", "language", "XML", "C#", "Docker", "JSON", "Markdown", "PowerShell", "Razor", "CSS", "SCSS", "JavaScript", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Shared\_ValidationScriptsPartial.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Shop\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 990, 0, 0, 0, 0, 0, 0, 31, 1021
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\User\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 458, 0, 0, 0, 0, 0, 0, 7, 465
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\_ViewImports.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\_ViewStart.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\appsettings.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\css\theme.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 4
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\js\components\hs.header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 143
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\js\components\hs.malihu-scrollbar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\js\components\hs.selectpicker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\js\components\hs.show-animation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\js\components\hs.slick-carousel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\js\components\hs.unfold.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\js\hs.core.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\animate.css\animate.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 5
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\bootstrap-select\dist\css\bootstrap-select.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\wwwroot\assets\vendor\bootstrap-select\dist\js\bootstrap-select.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 1, 9
